"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Dhh",2.30159163204608,2.94307947407009,0.233992591963073,NA,1.145,0,6.164,1.896
"Cxcl2",106.739745603216,2.94251963059747,5.00446827894907e-11,1.11550215773365e-09,38.944,11.378,186.989,189.648
"Ralgds",371.909338754655,2.94162231667247,7.36613288578905e-35,8.06033510623765e-33,100.796,71.77,675.011,640.061
"Zfp667",49.2713663697421,2.93175070581442,7.41006408256759e-08,1.10403364327166e-06,11.454,11.378,95.549,78.704
"Gch1",527.447267685229,2.91874440277497,7.80778932197358e-46,1.38658658565475e-43,124.849,121.658,996.591,866.69
"Gpr171",405.531015300054,2.91399047680953,2.00699560995022e-05,0.000190050554568101,139.74,50.764,636.996,794.624
"Akap12",138.656507272606,2.90731363611961,1.45985390834872e-13,4.04465406371911e-12,48.107,18.38,218.839,269.3
"Klhl3",2.24221042443981,2.90525498193769,0.239118187742457,NA,1.145,0,3.082,4.741
"Tmem132a",388.913112739196,2.9023597938271,1.01216230438636e-36,1.17900583262554e-34,80.178,102.403,664.737,708.334
"Gfi1",58.4123375645344,2.88250991400469,1.68064326014592e-07,2.36446862820269e-06,20.617,7.877,127.399,77.756
"Btnl10",4.52400832061713,2.88240303275749,0.107551089156185,NA,2.291,0,8.219,7.586
"Grhl1",80.0474223991571,2.87149103346165,2.77481029341784e-10,5.72562283973247e-09,24.054,14.879,167.468,113.789
"Casr",48.1023894873931,2.87038108643402,1.77394204695721e-07,2.4860432334654e-06,13.745,9.628,89.385,79.652
"Pik3r1",7352.21504591712,2.86430016660386,7.34378428855356e-95,7.95552151979007e-92,1932.302,1620.943,12501.57,13354.046
"Ildr1",127.020094961457,2.84330259769874,1.13752237083006e-12,2.99096598135973e-11,45.816,17.505,234.25,210.509
"Mir181a-2",1.95740250958946,2.83424845725723,0.271964177055252,NA,0,0.875,4.11,2.845
"Rapsn",1.95740250958946,2.83424845725723,0.271964177055252,NA,0,0.875,4.11,2.845
"Snord66",1.95740250958946,2.83424845725723,0.271964177055252,NA,0,0.875,4.11,2.845
"P2ry2",36.7772634997764,2.82398199010464,6.5731445447438e-06,6.89989097414821e-05,11.454,7.002,57.535,71.118
"BC024582",1.9376087737207,2.8197853279901,0.275680799564504,NA,0,0.875,3.082,3.793
"Mreg",6168.10778842392,2.81776275974486,7.79542692839024e-98,9.38309554613906e-95,1642.514,1424.014,10782.706,10823.197
"Slc7a1",1091.23883823038,2.81553511837528,9.04823970857263e-53,2.04207459922849e-50,225.645,315.086,1943.867,1880.357
"Inf2",912.233425938366,2.81018504408604,2.09038774473254e-53,5.03226009748614e-51,207.319,246.817,1725.028,1469.77
"Eno2",251.464086169108,2.80759686210418,6.32242233970417e-22,3.29282698105843e-20,44.671,79.647,475.693,405.846
"Plscr1",346.651568993746,2.8073240258158,9.97879462104271e-34,1.01028301055846e-31,90.487,83.148,629.805,583.167
"Nampt",2974.52799843571,2.80688779514776,1.1392864707794e-72,5.14245430748051e-70,840.729,649.427,5292.208,5115.748
"6430562O15Rik",1.91781503785195,2.80538585201945,0.282506118487201,NA,0,0.875,2.055,4.741
"Bhlhe41",1.91781503785195,2.80538585201945,0.282506118487201,NA,0,0.875,2.055,4.741
"Gm6524",1.91781503785195,2.80538585201945,0.282506118487201,NA,0,0.875,2.055,4.741
"AA467197",22.8220647276495,2.80332438430344,0.000546678004776155,0.0035815196235569,9.163,2.626,34.932,44.567
"Lrrc9",6.14538246963785,2.8026089477449,0.0601511696701338,NA,2.291,0.875,7.192,14.224
"Tpbg",4.00214072454182,2.80193952489276,0.122422142598203,NA,1.145,0.875,9.247,4.741
"Gm6498",3.98234698867307,2.79479529945005,0.122235429430227,NA,1.145,0.875,8.219,5.689
"Ptger4",1961.34791814274,2.79135699584933,9.47016587052492e-06,9.56581374176384e-05,712.443,278.326,3418.205,3436.417
"Snai1",45.7027702442682,2.79108809581414,1.30007976699414e-06,1.54427238112363e-05,6.872,15.754,72.946,87.238
"Procr",308.344036071572,2.79044167375047,1.10887484976767e-30,9.84626331765018e-29,77.888,77.896,509.597,567.995
"Lilrb4",2242.52216587698,2.78344770711832,1.61012827430556e-54,4.15298085608384e-52,649.446,490.134,4404.522,3425.987
"Phlpp1",2790.553858049,2.77837460389364,4.71297435136707e-76,2.55278255741797e-73,760.55,660.806,5224.399,4516.461
"Slc41a1",1552.0415381842,2.77729833296515,6.29556711861447e-74,3.24761326647384e-71,402.038,388.606,2599.357,2818.165
"Pla1a",31.3452067099156,2.76749785836352,0.000254357935219383,0.00182767361921038,14.89,1.75,57.535,51.205
"Dusp5",678.327618175375,2.76661285084552,4.50273108483601e-40,6.09726073025356e-38,209.609,140.038,1177.416,1186.247
"Kdm6b",7327.64925675222,2.76544647202897,6.7388320764302e-68,2.5173023408265e-65,2167.11,1593.811,12149.167,13400.51
"Id1",11.3459984264689,2.75324233877115,0.0112071234102484,NA,2.291,3.501,21.576,18.017
"Mpp7",285.062954527847,2.74394561601905,1.90747451145029e-19,8.71884868461647e-18,54.98,91.9,610.284,383.088
"Htr7",60.9545525012374,2.73766957963883,1.80471837796319e-08,2.91798719230973e-07,16.036,15.754,118.153,93.876
"Pde4d",55.9192416254072,2.73323691099194,1.00060585403635e-06,1.21519767004213e-05,5.727,22.756,96.577,98.617
"1110032F04Rik",127.646514631557,2.73189809452464,3.38088645716246e-15,1.09656116737847e-13,35.508,31.509,206.51,237.06
"Phlda2",2.02494447908361,2.72827610812016,0.284793611697286,NA,1.145,0,4.11,2.845
"Abtb2",79.4242732561027,2.72351803689026,1.12201226431415e-09,2.11755380824306e-08,27.49,14.879,152.057,123.271
"Ccr7",6288.06818481816,2.72256642429073,1.11056577162315e-89,8.59339928856682e-87,1746.746,1564.052,10345.028,11496.446
"Rasgef1a",7.89367979575899,2.7165366173119,0.0408222354202872,NA,3.436,0.875,9.247,18.017
"Gbgt1",2.00515074321485,2.71342197854382,0.288634090562148,NA,1.145,0,3.082,3.793
"Gm5483",2.00515074321485,2.71342197854382,0.288634090562148,NA,1.145,0,3.082,3.793
"Oaf",17.2233596542323,2.71318010811387,0.00240927255603944,0.0127067427456549,5.727,3.501,35.959,23.706
"Slfn14-ps",9.9186242748426,2.71040482591364,0.0236252809442561,NA,4.582,0.875,13.356,20.861
"Ifitm1",1186.13054854544,2.71000888417942,1.79372418507988e-53,4.41623047658417e-51,359.658,271.324,2105.171,2008.37
"Gm15350",5.82961299413799,2.70699697422171,0.0792618071802959,NA,2.291,0.875,15.411,4.741
"Gm17384",260.448441008512,2.70546222896569,2.36517568358604e-24,1.42344156557153e-22,77.888,61.267,491.104,411.536
"Prokr1",3.76508104331687,2.69952833804957,0.146164344251883,NA,1.145,0.875,9.247,3.793
"B3galt5",1.9853570073461,2.69744664886428,0.295831535083684,NA,1.145,0,2.055,4.741
"Itgb8",1.9853570073461,2.69744664886428,0.295831535083684,NA,1.145,0,2.055,4.741
"Gcnt4",25.3027410507794,2.69291449220277,0.000267052261518709,0.00190944473596228,4.582,8.752,45.206,42.671
"Epb4.9",9.81965559549882,2.69172086932043,0.0300128708619767,NA,4.582,0.875,8.219,25.602
"Nrg1",3.72549357157936,2.68417091612341,0.145651672946607,NA,1.145,0.875,7.192,5.689
"Cdh4",1.96556327147734,2.67959126501347,0.308587489687449,NA,1.145,0,1.027,5.689
"Fam124b",3.7056998357106,2.67638418941777,0.147224896322176,NA,1.145,0.875,6.164,6.638
"Npas2",3.7056998357106,2.67638418941777,0.147224896322176,NA,1.145,0.875,6.164,6.638
"Map4k4",1883.58674005798,2.67329341443657,2.45393177481902e-49,4.83335325756627e-47,539.487,482.257,3803.485,2709.118
"Niacr1",139.120860079156,2.6725562570539,6.89533736425841e-11,1.51823556233763e-09,58.416,18.38,244.524,235.163
"Dusp2",1514.2977374843,2.66758308436699,5.19904575298453e-44,8.5335246427396e-42,501.688,324.714,2538.739,2692.05
"Popdc2",3.38130444912274,2.66492368665072,0.181279050886158,NA,0,1.75,5.137,6.638
"Casp4",660.65259907107,2.65558819279797,2.85029687620332e-42,4.34891071266345e-40,169.52,191.677,1242.143,1039.27
"Cxcl10",457.200125708413,2.65455965792035,1.77184939258329e-35,1.95861678263825e-33,134.013,117.282,733.573,843.932
"Cgn",1.94576953560859,2.65265529624968,0.350146260055033,NA,1.145,0,0,6.638
"Pcdh9",1.94576953560859,2.65265529624968,0.350146260055033,NA,1.145,0,0,6.638
"Igsf9",83.5641204747999,2.64808561249969,1.25984326775417e-09,2.35308312406567e-08,30.926,15.754,151.03,136.546
"Gm11974",394.363862659103,2.64413688622518,3.77423859464526e-30,3.14510205352247e-28,125.995,92.775,638.024,720.661
"Penk",12.5805889184026,2.64397500882245,0.00938483849855554,NA,3.436,3.501,21.576,21.809
"Cd83",10784.6756751305,2.64089562127854,2.22246414930464e-78,1.26715548049564e-75,3254.101,2708.865,17522.54,19653.196
"Kdm2b",1982.67201766792,2.62466735637053,3.97469747622363e-66,1.43526325866435e-63,605.92,502.387,3405.876,3416.504
"Zfp827",10.8013300316319,2.62388314300768,0.0204367912170422,NA,3.436,2.626,26.713,10.431
"Mt1",167.125709805772,2.6233288129977,2.83935752922565e-16,9.98661042665632e-15,58.416,35.885,289.731,284.472
"Gm11213",1.7203428283645,2.6231112715853,0.332284993188049,NA,0,0.875,4.11,1.896
"Stx11",392.544806154568,2.61881096781748,6.3031133407737e-31,5.64310965459516e-29,101.941,117.282,734.601,616.355
"Bcl3",2106.95802072081,2.61695058056454,6.61775965682997e-72,2.75731501393996e-69,627.683,554.902,3614.441,3630.806
"Fam129b",92.9098573574767,2.6114956260589,1.96892418258704e-10,4.1335960600708e-09,18.327,33.259,154.112,165.942
"Dennd4a",9770.37232937441,2.61098139663653,2.04080873238828e-85,1.38175506237264e-82,2779.903,2717.618,18066.042,15517.927
"Ache",1.70054909249575,2.60621656491256,0.335038500588954,NA,0,0.875,3.082,2.845
"Hmga1",1.70054909249575,2.60621656491256,0.335038500588954,NA,0,0.875,3.082,2.845
"Mir221",1.70054909249575,2.60621656491256,0.335038500588954,NA,0,0.875,3.082,2.845
"Thrb",5.4737908977005,2.60543016910598,0.0891420353949055,NA,2.291,0.875,9.247,9.482
"Aloxe3",8.98201852392366,2.5954057286949,0.0312655047797014,NA,3.436,1.75,17.466,13.275
"Gm14124",1.68075535662699,2.58942926100259,0.341613015147264,NA,0,0.875,2.055,3.793
"Il4i1",43.2287344790727,2.58689329025969,3.91625951874992e-06,4.27669751679616e-05,11.454,13.129,79.111,69.221
"Plek2",3.81282927694226,2.58533639403178,0.175148458179085,NA,2.291,0,8.219,4.741
"Slc15a2",440.090878554694,2.5836862457433,1.15041761633459e-28,8.90176716982333e-27,138.594,113.781,865.082,642.906
"1700011B04Rik",33.6458110503172,2.57696616340074,6.00552415363212e-05,0.000513074472841457,12.599,7.002,52.398,62.584
"Slc25a21",1.66096162075824,2.5726740885589,0.353603375784375,NA,0,0.875,1.027,4.741
"Tctn2",1.66096162075824,2.5726740885589,0.353603375784375,NA,0,0.875,1.027,4.741
"Irf4",6583.20327369689,2.57252545887851,2.12119427590963e-73,1.04449534504223e-70,2060.587,1731.223,10636.814,11904.189
"Cd276",81.1858388197273,2.57225049423529,5.99212403793977e-10,1.18238032245904e-08,24.054,22.756,136.646,141.288
"Acta2",6.6722661299897,2.5677399585467,0.0656606278613493,NA,1.145,2.626,14.384,8.534
"Paqr8",358.872904916074,2.5670890437519,1.21933439086197e-27,8.86513386322663e-26,87.051,119.033,633.914,595.494
"Serpinb9",727.560355643146,2.56566829850915,2.13475424307106e-45,3.72996656696594e-43,209.609,210.933,1176.389,1313.311
"Prdm1",874.729672084794,2.55574201706458,1.4115800088037e-49,2.83178633988342e-47,271.461,238.065,1508.243,1481.149
"Vmn2r90",22.9833646842482,2.55556881730234,0.00144317439821508,0.0082370433381791,3.436,9.628,51.371,27.499
"Trim10",6.87789910136503,2.55129924091036,0.0608730752011708,NA,2.291,1.75,9.247,14.224
"Siglec5",22.1174456004348,2.54123130514788,0.00104080408856376,0.00622929872453661,6.872,6.127,44.179,31.292
"Fabp5",527.557599564947,2.53476055115692,1.54037563779617e-31,1.42622985335435e-29,125.995,182.925,869.192,932.119
"Ceacam15",3.38946521101062,2.52942713397678,0.195530316616469,NA,1.145,0.875,2.055,9.482
"Lzts2",13.0086415341291,2.52899304871654,0.0265247386194702,NA,8.018,0,17.466,26.551
"Patl2",80.1451805620791,2.52887281536137,1.78598556543732e-08,2.89201519138752e-07,27.49,20.131,170.551,102.41
"5930403L14Rik",6.47432877130214,2.52524322528305,0.0846950172329015,NA,1.145,2.626,4.11,18.017
"Atp1b2",4.87274835815017,2.50240085048855,0.118460532871573,NA,1.145,1.75,6.164,10.431
"Nudt9",400.085222158342,2.49358068818113,8.44588090333042e-27,5.71838923911116e-25,142.03,100.653,636.996,720.661
"Mapk6",1613.52716639669,2.48419317629199,3.75073114423464e-07,4.94302560650777e-06,656.318,322.963,2703.125,2771.702
"Ypel4",3.59556333158607,2.47867415044147,0.209073240457637,NA,2.291,0,9.247,2.845
"Fam46c",926.813340861621,2.47862063746526,0.00408035105448534,0.0198111913692994,444.418,119.908,1507.216,1635.712
"Rab44",5.0783813295255,2.47600705412586,0.149707456405073,NA,2.291,0.875,1.027,16.12
"Gpr55",70.3847270642881,2.47559050710916,9.06880493520831e-08,1.32939599273493e-06,28.635,14.879,110.961,127.064
"1700013F07Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"2510003D18Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"4930503E24Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"4932413F04Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"5031434C07Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"6430598A04Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"9430076C15Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Agr3",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Clcnkb",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"D630039A03Rik",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Dmkn",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Dnm3os",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Dusp27",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Fgf7",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Fkbp14",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Gdpd4",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Gjc3",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Gm16701",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Gm18409",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Gm5607",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Kbtbd12",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Lama1",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Meg3",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Mir5109",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Mir532",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Mlph",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Nespas",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Npdc1",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Opn1mw",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Pcdhb3",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Prps1l1",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Pthlh",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Sdk2",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Selenbp2",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Sema3g",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Serpina4-ps1",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Slc35f4",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Snord61",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Spaca4",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Spag6",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Stra8",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Tcp10a",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Tepp",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Tnfaip6",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Txndc2",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Vtn",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Zfp345",0.51370683418742,2.47472448398207,0.612693747622426,NA,0,0,2.055,0
"Gdf3",1.74829732612114,2.4747110001259,0.357069640282722,NA,1.145,0,2.055,3.793
"Ifitm7",1.74829732612114,2.4747110001259,0.357069640282722,NA,1.145,0,2.055,3.793
"Kank1",1.74829732612114,2.4747110001259,0.357069640282722,NA,1.145,0,2.055,3.793
"Ttc21a",6.60171709760268,2.4742292522606,0.092964565521761,NA,2.291,1.75,19.521,2.845
"Gjb2",52.1704535090514,2.46704383796953,7.44693607650646e-06,7.69777275923612e-05,22.908,9.628,70.892,105.254
"E130012A19Rik",22.0032341002986,2.46089239636385,0.00153984608211939,0.00871533574064754,4.582,8.752,33.905,40.774
"Zhx2",396.4709674421,2.45738792901627,1.20720461290212e-27,8.83624835916802e-26,138.594,106.779,635.969,704.541
"Ccr1",12.1314169908165,2.45481045309439,0.0250602546186286,NA,6.872,0.875,24.658,16.12
"Hamp",1.72850359025239,2.45476723046909,0.369755076398141,NA,1.145,0,1.027,4.741
"Zfp9",1.72850359025239,2.45476723046909,0.369755076398141,NA,1.145,0,1.027,4.741
"Hilpda",126.182113621531,2.42742333214908,6.04889035925797e-12,1.48926430140549e-10,49.253,30.633,209.592,215.25
"Gsta4",3.19199300152318,2.42453992556824,0.212490357464628,NA,1.145,0.875,4.11,6.638
"Mir146",3.19199300152318,2.42453992556824,0.212490357464628,NA,1.145,0.875,4.11,6.638
"1700030C10Rik",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"1700031P21Rik",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"1700108F19Rik",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"4930474N09Rik",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"4930513D17Rik",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"A230028O05Rik",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Ablim3",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Actn2",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Adamts2",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Alpk3",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Astn2",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"B3gnt7",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Bhlhe22",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Bpifc",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Cachd1",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Cd59b",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Cdh3",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Clgn",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Cyp3a13",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Dio2",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Dpep3",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Duox1",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Emilin3",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Evc",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Fam107a",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Fcrls",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Gm10248",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Gm14085",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Gm17660",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Gm5535",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Hmx2",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Kcnj5",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Kif26a",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Mc1r",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Mir190",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Mir27b",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Mir3091",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
"Mir30b",0.493913098318664,2.42290748677922,0.605122993873091,NA,0,0,1.027,0.948
