"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Bambi-ps1",2.13477711695652,-0.818118323651244,0.731466512632018,NA,4.582,0.875,3.082,0
"Zfp541",2.13477711695652,-0.818118323651244,0.731466512632018,NA,4.582,0.875,3.082,0
"L3mbtl3",141.782996791376,-0.818798090735756,0.0107558852882706,0.0437217656014393,215.337,147.04,97.604,107.151
"4930590J08Rik",4.26955423391305,-0.81909860329046,0.650256609393826,NA,9.163,1.75,6.164,0
"Gpam",33.8167318139799,-0.819111197019264,0.164689932621271,0.338515353843649,35.508,50.764,20.548,28.447
"Cnr1",1.33317466355163,-0.819405216593992,0.79333193279277,NA,3.436,0,0,1.896
"Il20ra",1.33317466355163,-0.819405216593992,0.79333193279277,NA,3.436,0,0,1.896
"Styk1",1.33317466355163,-0.819405216593992,0.79333193279277,NA,3.436,0,0,1.896
"Asah1",1383.77163156698,-0.820188893672722,3.87483129620972e-08,6.00515700026322e-07,1828.07,1705.841,1026.386,974.789
"Fam175a",90.0350189097589,-0.820291437963138,0.0422160767996445,0.127105825450403,82.469,147.04,70.892,59.739
"Sphk2",276.234347355846,-0.821686753387183,0.000443384604605187,0.00297595131455266,342.477,363.224,184.934,214.302
"1110049F12Rik",106.48222980672,-0.821864876298876,0.0187897414030913,0.0680526633507495,116.832,154.917,81.166,73.014
"Daglb",202.303148070904,-0.822150377595092,0.00429387905683623,0.0206552361557313,203.882,312.46,145.893,146.977
"Impa2",49.6458382289784,-0.822253705061257,0.0906367570161026,0.222847932082487,54.98,71.77,33.905,37.93
"Mipol1",13.9481756522427,-0.822390925622884,0.387307365627148,NA,17.181,18.38,16.439,3.793
"Scn2b",185.131236998092,-0.822549479456164,0.00315310987936279,0.0159867347666741,208.464,264.322,127.399,140.339
"Pkd1",744.720585868492,-0.822918659144871,1.35050261681197e-06,1.60065589145778e-05,973.596,929.504,559.94,515.842
"Ankrd16",159.556094060123,-0.822989254059118,0.00494180800446898,0.0232658001357725,191.283,216.184,127.399,103.358
"Inpp5b",641.823009011064,-0.823081533375039,6.6836009922671e-06,6.99759814776174e-05,881.963,758.832,443.843,482.654
"Slc16a11",7.02765254673719,-0.823085134044244,0.5360147005295,NA,9.163,8.752,9.247,0.948
"Zfp740",297.607266609903,-0.823272464188889,0.000228039157581733,0.0016612967007955,374.548,385.98,213.702,216.198
"Xkrx",34.4979649850793,-0.823522659037748,0.197970982528421,0.382169681855241,59.561,28.883,15.411,34.137
"Map3k9",190.502053891661,-0.823750560172474,0.00259350430272285,0.013553030444475,250.844,236.315,121.235,153.615
"A130022J15Rik",236.168627015053,-0.823857797111814,0.000722407313819925,0.00457890740630152,295.515,308.084,168.496,172.579
"Itpripl2",477.099934720322,-0.823981841680068,2.40237834480218e-05,0.000223966993194854,579.576,639.8,327.745,361.279
"BC029214",67.0179649096338,-0.824310852519307,0.0479954314404066,0.140298839026049,88.196,83.148,49.316,47.412
"Rhbdd3",15.904671511662,-0.824427822103041,0.341304780483455,NA,16.036,24.507,16.439,6.638
"Ptk6",11.0117960818813,-0.824564367356918,0.410751720880544,NA,11.454,16.63,10.274,5.689
"Gm8817",69.6227924146939,-0.824649135673592,0.0643064024719697,0.173680193961318,62.997,114.656,53.426,47.412
"Cx3cr1",108.080693918691,-0.825268775889072,0.017054088768654,0.0627963778486841,132.867,143.539,66.782,89.134
"Muc6",43.3438847546361,-0.82535483651957,0.113265307561625,0.259903214745835,61.852,49.013,35.959,26.551
"Ulk4",9.45994925550838,-0.825503117216324,0.446483145861355,NA,13.745,10.503,4.11,9.482
"Fbxo9",108.080355634344,-0.825961579807672,0.0142557191809001,0.0544926626276256,144.321,132.161,78.083,77.756
"Ctbs",121.560426049923,-0.826353559234673,0.00981017416651036,0.0405624491396209,156.921,154.042,84.248,91.031
"Abcc5",82.6684517827485,-0.826547812463175,0.036348299265207,0.112954998835338,113.395,98.027,70.892,48.36
"Tmem175",174.960895340925,-0.826589034244896,0.00330003660999254,0.0165736191914924,215.337,231.938,139.728,112.84
"4632415K11Rik",13.1825508237639,-0.826637172359019,0.388360173742636,NA,12.599,21.006,14.384,4.741
"5430417L22Rik",248.649157618539,-0.826744822795944,0.00078654999824339,0.0049338136253449,306.969,329.09,161.304,197.234
"BC068281",50.8121639593457,-0.826977005109212,0.0831729665933881,0.209100196589968,68.724,61.267,40.069,33.188
"Txndc16",245.236300630133,-0.82741199138174,0.00058926915776321,0.00382248669823285,318.423,308.959,182.88,170.683
"Gzmm",3.28967052297089,-0.827688536935822,0.671678180454138,NA,2.291,6.127,0,4.741
"Slc25a35",69.9320826152079,-0.827786793705992,0.0603533886001922,0.16660778366852,67.579,111.155,43.151,57.843
"4930533B01Rik",12.4880778115907,-0.827933477782149,0.394549026484349,NA,12.599,19.255,13.356,4.741
"Kif9",323.870403285059,-0.828013008067157,0.000221463013693571,0.0016188318673026,396.311,432.368,212.675,254.128
"Gm19466",40.8566201186166,-0.828241085234355,0.14012790425755,0.302632692747616,49.253,55.14,40.069,18.965
"Ss18l1",105.283473283329,-0.828324771444218,0.0149093093310528,0.056472918875278,132.867,136.537,73.974,77.756
"Cyp4f18",53.6575979775327,-0.828536741073584,0.0766915800814099,0.197105548522399,69.87,67.393,44.179,33.188
"Mapk1ip1",98.6678163281148,-0.828840640518791,0.0263491841358483,0.0883991055260591,143.176,109.405,84.248,57.843
"Suox",136.156267548978,-0.829266142780185,0.00656799614503532,0.0294377750265485,167.229,181.175,97.604,98.617
"Casc1",11.0587408819602,-0.829564512680802,0.444630309642781,NA,24.054,4.376,8.219,7.586
"Zfp60",145.473913171875,-0.82956748594796,0.00580119643664841,0.0265951591190064,171.811,200.43,99.659,109.996
"Mylip",197.462032855851,-0.83001305600808,0.00215024636322468,0.0115200884534189,226.791,278.326,151.03,133.702
"0610009B22Rik",103.399736107308,-0.830311368993408,0.0181237795708677,0.0661354886231551,115.686,148.791,77.056,72.066
"Cutc",57.3875568741296,-0.83148750666409,0.0752993799484089,0.19482021091912,81.324,65.643,50.343,32.24
"Dus4l",33.0633427434006,-0.831566374868542,0.164399004192025,0.33813070294517,35.508,49.013,28.768,18.965
"Gm16675",22.6586839683296,-0.831858471429961,0.240856955171825,0.436321638022806,22.908,35.01,18.493,14.224
